period,business_unit,cost_center,account,account_category,amount
2026-07,BU-PRJ,CC-4100,700100,REVENUE,2255000.00
2026-07,BU-PRJ,CC-4200,700200,REVENUE,835000.00
2026-07,BU-SVC,CC-5100,700300,REVENUE,1262000.00
2026-07,BU-SVC,CC-5100,700400,REVENUE,368000.00
2026-07,BU-PRJ,CC-4100,601100,DIRECT_MATERIALS,548000.00
2026-07,BU-SVC,CC-5100,601200,DIRECT_MATERIALS,167000.00
2026-07,BU-PRJ,CC-4200,604100,EXTERNAL_CONTRACTORS,545000.00
2026-07,BU-SVC,CC-5100,604200,EXTERNAL_CONTRACTORS,195000.00
2026-07,BU-PRJ,CC-4100,605100,DIRECT_PROJECT_COSTS,566000.00
2026-07,BU-PRJ,CC-4100,605200,DIRECT_PROJECT_COSTS,234000.00
2026-07,BU-PRJ,CC-4100,641100,PERSONNEL,386500.00
2026-07,BU-PRJ,CC-4200,641200,PERSONNEL,311000.00
2026-07,BU-SVC,CC-5100,641300,PERSONNEL,296500.00
2026-07,BU-PRJ,CC-4900,641900,PERSONNEL,125500.00
2026-07,BU-SVC,CC-5900,641950,PERSONNEL,65500.00
2026-07,BU-PRJ,CC-4100,625100,TRAVEL,96000.00
2026-07,BU-SVC,CC-5100,625200,TRAVEL,48000.00
2026-07,BU-PRJ,CC-4900,625300,TRAVEL,16000.00
2026-07,BU-PRJ,CC-4900,613100,FACILITIES,95000.00
2026-07,BU-SVC,CC-5900,613200,FACILITIES,50000.00
2026-07,BU-PRJ,CC-4900,628100,OTHER_OPEX,57000.00
2026-07,BU-PRJ,CC-4900,628200,OTHER_OPEX,31000.00
2026-07,BU-PRJ,CC-4100,628400,OTHER_OPEX,22000.00
