period,business_unit,cost_center,account,account_category,amount
2026-07,BU-PRJ,CC-4100,700100,REVENUE,2600000.00
2026-07,BU-PRJ,CC-4200,700200,REVENUE,800000.00
2026-07,BU-SVC,CC-5100,700300,REVENUE,1250000.00
2026-07,BU-SVC,CC-5100,700400,REVENUE,350000.00
2026-07,BU-PRJ,CC-4100,601100,DIRECT_MATERIALS,620000.00
2026-07,BU-SVC,CC-5100,601200,DIRECT_MATERIALS,180000.00
2026-07,BU-PRJ,CC-4200,604100,EXTERNAL_CONTRACTORS,420000.00
2026-07,BU-SVC,CC-5100,604200,EXTERNAL_CONTRACTORS,200000.00
2026-07,BU-PRJ,CC-4100,605100,DIRECT_PROJECT_COSTS,720000.00
2026-07,BU-PRJ,CC-4100,605200,DIRECT_PROJECT_COSTS,260000.00
2026-07,BU-PRJ,CC-4100,641100,PERSONNEL,385000.00
2026-07,BU-PRJ,CC-4200,641200,PERSONNEL,310000.00
2026-07,BU-SVC,CC-5100,641300,PERSONNEL,295000.00
2026-07,BU-PRJ,CC-4900,641900,PERSONNEL,125000.00
2026-07,BU-SVC,CC-5900,641950,PERSONNEL,65000.00
2026-07,BU-PRJ,CC-4100,625100,TRAVEL,68000.00
2026-07,BU-SVC,CC-5100,625200,TRAVEL,42000.00
2026-07,BU-PRJ,CC-4900,625300,TRAVEL,12000.00
2026-07,BU-PRJ,CC-4900,613100,FACILITIES,96000.00
2026-07,BU-SVC,CC-5900,613200,FACILITIES,49000.00
2026-07,BU-PRJ,CC-4900,628100,OTHER_OPEX,58000.00
2026-07,BU-PRJ,CC-4900,628200,OTHER_OPEX,30000.00
